cytokine,environment,pbmc,time,donor,value
CCL2,Inflammatory,Resting,48,1.0,5065.14591863034
CCL2,Inflammatory,Resting,48,2.0,3987.64130563861
CCL2,Inflammatory,Resting,48,3.0,7604.97554313808
CCL2,Inflammatory,Resting,48,4.0,9658.0539243291
CCL2,Inflammatory,Resting,96,1.0,10015.5695119585
CCL2,Inflammatory,Resting,96,2.0,8258.50104274822
CCL2,Inflammatory,Resting,96,3.0,7128.72857475448
CCL2,Inflammatory,Resting,96,4.0,10050.6658016807
CCL3,Basal,Activated,24,1.0,111.271539330032
CCL3,Basal,Activated,24,2.0,102.747640823778
CCL3,Basal,Activated,24,3.0,170.34658547011
CCL3,Basal,Activated,24,4.0,578.178895243276
CCL3,Basal,Activated,48,1.0,4084.70201074769
CCL3,Basal,Activated,48,2.0,5065.50399384095
CCL3,Basal,Activated,48,3.0,170.34658547011
CCL3,Basal,Activated,48,4.0,447.566511482917
CCL3,Basal,Activated,96,1.0,1174.81328597504
CCL3,Basal,Activated,96,2.0,1414.82460011933
CCL3,Basal,Activated,96,3.0,1318.91199989989
CCL3,Basal,Activated,96,4.0,824.914288267057
CCL3,Basal,None,24,,128.40419334145827
CCL3,Basal,None,48,,139.2207852056875
CCL3,Basal,None,96,,176.615760627776
CCL3,Basal,Resting,24,1.0,275.105572686883
CCL3,Basal,Resting,24,2.0,446.674984815354
CCL3,Basal,Resting,24,3.0,799.341615583795
CCL3,Basal,Resting,24,4.0,1113.37170201673
CCL3,Basal,Resting,48,1.0,789.529592100274
CCL3,Basal,Resting,48,2.0,770.230548743359
CCL3,Basal,Resting,48,3.0,1088.23293362839
CCL3,Basal,Resting,48,4.0,1523.74575061069
CCL3,Basal,Resting,96,1.0,4549.30977494196
CCL3,Basal,Resting,96,2.0,4207.22126467081
CCL3,Basal,Resting,96,3.0,5065.87191613847
CCL3,Basal,Resting,96,4.0,340.031246404614
CCL3,Inflammatory,Activated,24,1.0,882.010299312373
CCL3,Inflammatory,Activated,24,2.0,835.824537455535
CCL3,Inflammatory,Activated,24,3.0,965.019705641023
CCL3,Inflammatory,Activated,24,4.0,9.27754915409236
CCL3,Inflammatory,Activated,48,1.0,904.888113923932
CCL3,Inflammatory,Activated,48,2.0,1004.18870694334
CCL3,Inflammatory,Activated,48,3.0,1331.31639516045
CCL3,Inflammatory,Activated,48,4.0,2024.08752117777
CCL3,Inflammatory,Activated,96,1.0,1753.12938209372
CCL3,Inflammatory,Activated,96,2.0,1104.10091938159
CCL3,Inflammatory,Activated,96,3.0,2542.23984271643
CCL3,Inflammatory,Activated,96,4.0,776.114862612115
CCL3,Inflammatory,None,24,,222.51746823578674
CCL3,Inflammatory,None,48,,228.400095609398
CCL3,Inflammatory,None,96,,194.05532089619825
CCL3,Inflammatory,Resting,24,1.0,222.276043658828
CCL3,Inflammatory,Resting,24,2.0,227.695394598663
CCL3,Inflammatory,Resting,24,3.0,415.474102508413
CCL3,Inflammatory,Resting,24,4.0,1032.02898364769
CCL3,Inflammatory,Resting,48,1.0,4541.2690279951
CCL3,Inflammatory,Resting,48,2.0,3767.84350159495
CCL3,Inflammatory,Resting,48,3.0,749.376036479876
CCL3,Inflammatory,Resting,48,4.0,717.281612235464
CCL3,Inflammatory,Resting,96,1.0,6253.15922400078
CCL3,Inflammatory,Resting,96,2.0,5616.72131500356
CCL3,Inflammatory,Resting,96,3.0,3517.40850987
CCL3,Inflammatory,Resting,96,4.0,3843.58772032253
CCL4,Basal,Activated,24,1.0,105.565030083145
CCL4,Basal,Activated,24,2.0,111.145465819805
CCL4,Basal,Activated,24,3.0,192.186702481522
CCL4,Basal,Activated,24,4.0,732.831491157082
CCL4,Basal,Activated,48,1.0,1608.541771405
CCL4,Basal,Activated,48,2.0,1611.51869211545
CCL4,Basal,Activated,48,3.0,211.85121772666
CCL4,Basal,Activated,48,4.0,609.776841744466
CCL4,Basal,Activated,96,1.0,579.928608169376
CCL4,Basal,Activated,96,2.0,572.065845311306
CCL4,Basal,Activated,96,3.0,661.15334400735
CCL4,Basal,Activated,96,4.0,546.993121295128
CCL4,Basal,None,24,,149.88976991077064
CCL4,Basal,None,48,,161.9738504605105
CCL4,Basal,None,96,,228.86351404512627
CCL4,Basal,Resting,24,1.0,307.807641386206
CCL4,Basal,Resting,24,2.0,349.945697191393
CCL4,Basal,Resting,24,3.0,574.317812133333
CCL4,Basal,Resting,24,4.0,948.23715664543
CCL4,Basal,Resting,48,1.0,507.055795373656
CCL4,Basal,Resting,48,2.0,614.137335889865
CCL4,Basal,Resting,48,3.0,596.602134407924
CCL4,Basal,Resting,48,4.0,942.878880788468
CCL4,Basal,Resting,96,1.0,996.787041963278
CCL4,Basal,Resting,96,2.0,1038.38355085922
CCL4,Basal,Resting,96,3.0,1196.37366883665
CCL4,Basal,Resting,96,4.0,434.871380690446
CCL4,Inflammatory,Activated,24,1.0,516.592899910788
CCL4,Inflammatory,Activated,24,2.0,455.370319446788
CCL4,Inflammatory,Activated,24,3.0,966.892818127086
CCL4,Inflammatory,Activated,24,4.0,11.2345679012346
CCL4,Inflammatory,Activated,48,1.0,528.389870647562
CCL4,Inflammatory,Activated,48,2.0,669.527286898837
CCL4,Inflammatory,Activated,48,3.0,803.292441977196
CCL4,Inflammatory,Activated,48,4.0,839.364107679616
CCL4,Inflammatory,Activated,96,1.0,639.99064068525
CCL4,Inflammatory,Activated,96,2.0,499.842490158553
CCL4,Inflammatory,Activated,96,3.0,929.426845945216
CCL4,Inflammatory,Activated,96,4.0,450.291343027735
CCL4,Inflammatory,None,24,,249.3797257205655
CCL4,Inflammatory,None,48,,317.72806576501875
CCL4,Inflammatory,None,96,,263.16282476310727
CCL4,Inflammatory,Resting,24,1.0,215.662207928626
CCL4,Inflammatory,Resting,24,2.0,255.40342188513
CCL4,Inflammatory,Resting,24,3.0,320.150479200944
CCL4,Inflammatory,Resting,24,4.0,514.217086154798
CCL4,Inflammatory,Resting,48,1.0,1891.34202424338
CCL4,Inflammatory,Resting,48,2.0,1263.35767783649
CCL4,Inflammatory,Resting,48,3.0,361.485583076321
CCL4,Inflammatory,Resting,48,4.0,686.12684311563
CCL4,Inflammatory,Resting,96,1.0,1653.7964203481
CCL4,Inflammatory,Resting,96,2.0,1500.39644901396
CCL4,Inflammatory,Resting,96,3.0,1331.51278182291
CCL4,Inflammatory,Resting,96,4.0,1355.01978315481
CCL5 RANTES,Basal,Activated,24,1.0,22.6848239179576
CCL5 RANTES,Basal,Activated,24,2.0,19.4215590586311
CCL5 RANTES,Basal,Activated,24,3.0,146.698622905208
CCL5 RANTES,Basal,Activated,24,4.0,111.241387257934
CCL5 RANTES,Basal,Activated,48,1.0,597.744050076071
CCL5 RANTES,Basal,Activated,48,2.0,317.074316717627
CCL5 RANTES,Basal,Activated,48,3.0,179.166877929857
CCL5 RANTES,Basal,Activated,48,4.0,105.727587385609
CCL5 RANTES,Basal,Activated,96,1.0,4370.0
CCL5 RANTES,Basal,Activated,96,2.0,4370.0
CCL5 RANTES,Basal,Activated,96,3.0,4370.0
CCL5 RANTES,Basal,Activated,96,4.0,4370.0
CCL5 RANTES,Basal,None,24,,1126.924945775619
CCL5 RANTES,Basal,None,48,,15.5209651543673
CCL5 RANTES,Basal,None,96,,2204.8339688083115
CCL5 RANTES,Basal,Resting,24,1.0,4370.0
CCL5 RANTES,Basal,Resting,24,2.0,4370.0
CCL5 RANTES,Basal,Resting,24,3.0,4370.0
CCL5 RANTES,Basal,Resting,24,4.0,4370.0
CCL5 RANTES,Basal,Resting,48,1.0,4370.0
CCL5 RANTES,Basal,Resting,48,2.0,4370.0
CCL5 RANTES,Basal,Resting,48,3.0,4370.0
CCL5 RANTES,Basal,Resting,48,4.0,4370.0
CCL5 RANTES,Basal,Resting,96,1.0,4370.0
CCL5 RANTES,Basal,Resting,96,2.0,4370.0
CCL5 RANTES,Basal,Resting,96,3.0,4370.0
CCL5 RANTES,Basal,Resting,96,4.0,61.4001351607937
CCL5 RANTES,Inflammatory,Activated,24,1.0,4370.0
CCL5 RANTES,Inflammatory,Activated,24,2.0,4370.0
CCL5 RANTES,Inflammatory,Activated,24,3.0,4370.0
CCL5 RANTES,Inflammatory,Activated,24,4.0,4370.0
CCL5 RANTES,Inflammatory,Activated,48,1.0,4370.0
CCL5 RANTES,Inflammatory,Activated,48,2.0,4370.0
CCL5 RANTES,Inflammatory,Activated,48,3.0,4370.0
CCL5 RANTES,Inflammatory,Activated,48,4.0,4370.0
CCL5 RANTES,Inflammatory,Activated,96,1.0,4370.0
CCL5 RANTES,Inflammatory,Activated,96,2.0,4370.0
CCL5 RANTES,Inflammatory,Activated,96,3.0,4370.0
CCL5 RANTES,Inflammatory,Activated,96,4.0,4370.0
CCL5 RANTES,Inflammatory,None,24,,2447.6378962786257
CCL5 RANTES,Inflammatory,None,48,,3277.9851406554776
CCL5 RANTES,Inflammatory,None,96,,3285.1555905845057
CCL5 RANTES,Inflammatory,Resting,24,1.0,4370.0
CCL5 RANTES,Inflammatory,Resting,24,2.0,4370.0
CCL5 RANTES,Inflammatory,Resting,24,3.0,4370.0
CCL5 RANTES,Inflammatory,Resting,24,4.0,4370.0
CCL5 RANTES,Inflammatory,Resting,48,1.0,4370.0
CCL5 RANTES,Inflammatory,Resting,48,2.0,4370.0
CCL5 RANTES,Inflammatory,Resting,48,3.0,4370.0
CCL5 RANTES,Inflammatory,Resting,48,4.0,4370.0
CCL5 RANTES,Inflammatory,Resting,96,1.0,473.500179251399
CCL5 RANTES,Inflammatory,Resting,96,2.0,4370.0
CCL5 RANTES,Inflammatory,Resting,96,3.0,328.951402945055
CCL5 RANTES,Inflammatory,Resting,96,4.0,279.188991173272
CD25,Basal,Activated,24,1.0,7.12206112223853
CD25,Basal,Activated,24,2.0,5.29353801314361
CD25,Basal,Activated,24,3.0,9.67939202232586
CD25,Basal,Activated,24,4.0,15.1148097951419
CD25,Basal,Activated,48,1.0,12.3494316751181
CD25,Basal,Activated,48,2.0,15.8195337269741
CD25,Basal,Activated,48,3.0,11.0015618370232
CD25,Basal,Activated,48,4.0,20.1484757884243
CD25,Basal,Activated,96,1.0,199.883429459898
CD25,Basal,Activated,96,2.0,147.141217294697
CD25,Basal,Activated,96,3.0,132.537504243229
CD25,Basal,Activated,96,4.0,130.543795761474
CD25,Basal,None,24,,8.058652441273807
CD25,Basal,None,48,,8.402883578874821
CD25,Basal,None,96,,12.44055847253415
CD25,Basal,Resting,24,1.0,89.0076436402453
CD25,Basal,Resting,24,2.0,43.3626958486148
CD25,Basal,Resting,24,3.0,105.11055875753
CD25,Basal,Resting,24,4.0,121.63626083747
