time,sample,environment,condition,cell_type,dist_pct,count
24,5,Inflammatory,Resting,MRC5,55,40
24,5,Inflammatory,Resting,MRC5,65,53
24,5,Inflammatory,Resting,MRC5,75,65
24,5,Inflammatory,Resting,MRC5,85,26
24,5,Inflammatory,Resting,MRC5,95,5
24,5,Inflammatory,Resting,MRC5,105,1
24,5,Inflammatory,Resting,MRC5,115,0
24,5,Inflammatory,Resting,MRC5,125,0
24,5,Inflammatory,Resting,A549,5,7
24,5,Inflammatory,Resting,A549,15,15
24,5,Inflammatory,Resting,A549,25,26
24,5,Inflammatory,Resting,A549,35,43
24,5,Inflammatory,Resting,A549,45,49
24,5,Inflammatory,Resting,A549,55,67
24,5,Inflammatory,Resting,A549,65,94
24,5,Inflammatory,Resting,A549,75,115
24,5,Inflammatory,Resting,A549,85,86
24,5,Inflammatory,Resting,A549,95,57
24,5,Inflammatory,Resting,A549,105,11
24,5,Inflammatory,Resting,A549,115,0
24,5,Inflammatory,Resting,A549,125,0
24,5,Inflammatory,Resting,PBMC,5,13
24,5,Inflammatory,Resting,PBMC,15,23
24,5,Inflammatory,Resting,PBMC,25,45
24,5,Inflammatory,Resting,PBMC,35,81
24,5,Inflammatory,Resting,PBMC,45,123
24,5,Inflammatory,Resting,PBMC,55,141
24,5,Inflammatory,Resting,PBMC,65,170
24,5,Inflammatory,Resting,PBMC,75,245
24,5,Inflammatory,Resting,PBMC,85,179
24,5,Inflammatory,Resting,PBMC,95,106
24,5,Inflammatory,Resting,PBMC,105,17
24,5,Inflammatory,Resting,PBMC,115,1
24,5,Inflammatory,Resting,PBMC,125,4
24,6,Inflammatory,Activated,MRC5,5,12
24,6,Inflammatory,Activated,MRC5,15,19
24,6,Inflammatory,Activated,MRC5,25,40
24,6,Inflammatory,Activated,MRC5,35,54
24,6,Inflammatory,Activated,MRC5,45,88
24,6,Inflammatory,Activated,MRC5,55,103
24,6,Inflammatory,Activated,MRC5,65,134
24,6,Inflammatory,Activated,MRC5,75,126
24,6,Inflammatory,Activated,MRC5,85,88
24,6,Inflammatory,Activated,MRC5,95,8
24,6,Inflammatory,Activated,MRC5,105,0
24,6,Inflammatory,Activated,MRC5,115,0
24,6,Inflammatory,Activated,MRC5,125,0
24,6,Inflammatory,Activated,A549,5,11
24,6,Inflammatory,Activated,A549,15,26
24,6,Inflammatory,Activated,A549,25,67
24,6,Inflammatory,Activated,A549,35,84
24,6,Inflammatory,Activated,A549,45,116
24,6,Inflammatory,Activated,A549,55,147
24,6,Inflammatory,Activated,A549,65,173
24,6,Inflammatory,Activated,A549,75,210
24,6,Inflammatory,Activated,A549,85,230
24,6,Inflammatory,Activated,A549,95,35
24,6,Inflammatory,Activated,A549,105,0
24,6,Inflammatory,Activated,A549,115,0
24,6,Inflammatory,Activated,A549,125,3
24,6,Inflammatory,Activated,PBMC,5,8
24,6,Inflammatory,Activated,PBMC,15,22
